Geography,Year,Category,Industry Space Use,Value
South Yarra,2022,Jobs by space use,Health,35
South Yarra,2022,Jobs by space use,Other - Employment,4
Southbank,2022,Jobs by space use,Health,65
West Melbourne (Industrial),2022,Jobs by space use,Accommodation - Commercial,1
West Melbourne (Industrial),2022,Jobs by space use,Education,0
West Melbourne (Industrial),2022,Jobs by space use,Entertainment - Hospitality,3
West Melbourne (Industrial),2022,Jobs by space use,Health,11
West Melbourne (Industrial),2022,Jobs by space use,Office,1034
West Melbourne (Industrial),2022,Jobs by space use,Retail,18
West Melbourne (Residential),2022,Jobs by space use,Accommodation - Commercial,28
West Melbourne (Residential),2022,Jobs by space use,Entertainment - Other,266
West Melbourne (Residential),2022,Jobs by space use,Office,3254
City of Melbourne,2022,Jobs by space use,Total jobs,473514
Melbourne (CBD),2022,Jobs by industry,Total jobs,222982
Melbourne (Remainder),2022,Jobs by industry,Total jobs,23330
North Melbourne,2022,Jobs by industry,Total jobs,10155
Port Melbourne,2022,Jobs by industry,Total jobs,13183
South Yarra,2022,Jobs by industry,Total jobs,1061
Southbank,2022,Jobs by space use,Total jobs,45230
West Melbourne (Industrial),2022,Jobs by industry,Total jobs,3805
West Melbourne (Residential),2022,Jobs by space use,Total jobs,4994
City of Melbourne,2022,Jobs by industry,Health care and social assistance,45387
City of Melbourne,2022,Jobs by industry,Manufacturing,12636
City of Melbourne,2022,Jobs by industry,Public administration and safety,47210
City of Melbourne,2022,Jobs by space use,Accommodation - Commercial,8561
City of Melbourne,2022,Jobs by space use,Education,25682
City of Melbourne,2022,Jobs by space use,Office,317933
City of Melbourne,2022,Jobs by space use,Other - Employment,4714
Carlton,2022,Jobs by industry,Business services,2215
Carlton,2022,Jobs by industry,Education and training,3109
Carlton,2022,Jobs by industry,Health care and social assistance,2619
Carlton,2022,Jobs by industry,Information media and telecommunications,334
Carlton,2022,Jobs by industry,"Transport, postal and storage",19
Docklands,2022,Jobs by industry,Accommodation,449
Docklands,2022,Jobs by industry,Admin and support services,1069
Docklands,2022,Jobs by industry,Agriculture and mining,1035
Docklands,2022,Jobs by industry,Health care and social assistance,596
Docklands,2022,Jobs by industry,Manufacturing,257
Docklands,2022,Jobs by industry,Real estate services,1192
East Melbourne,2022,Jobs by industry,Accommodation,685
East Melbourne,2022,Jobs by industry,Admin and support services,94
East Melbourne,2022,Jobs by industry,Arts and recreation services,2169
East Melbourne,2022,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2022,Jobs by industry,Other services,1147
East Melbourne,2022,Jobs by industry,Retail trade,81
East Melbourne,2022,Jobs by industry,"Transport, postal and storage",11
East Melbourne,2022,Jobs by industry,Wholesale trade,138
Kensington,2022,Jobs by industry,Arts and recreation services,3435
Kensington,2022,Jobs by industry,Health care and social assistance,480
Kensington,2022,Jobs by industry,Public administration and safety,278
Kensington,2022,Jobs by industry,Real estate services,61
Kensington,2022,Jobs by industry,"Transport, postal and storage",56
Melbourne (CBD),2022,Jobs by industry,Business services,50252
Melbourne (CBD),2022,Jobs by industry,Education and training,10012
Melbourne (CBD),2022,Jobs by industry,"Electricity, gas, water and waste services",7072
Melbourne (CBD),2022,Jobs by industry,Health care and social assistance,4967
Melbourne (CBD),2022,Jobs by industry,Real estate services,7233
Melbourne (CBD),2022,Jobs by industry,Rental and hiring services,89
Melbourne (CBD),2022,Jobs by industry,Retail trade,10289
Melbourne (CBD),2022,Jobs by industry,"Transport, postal and storage",5718
Melbourne (Remainder),2022,Jobs by industry,Agriculture and mining,0
Melbourne (Remainder),2022,Jobs by industry,Construction,181
Melbourne (Remainder),2022,Jobs by industry,Education and training,1860
Melbourne (Remainder),2022,Jobs by industry,Food and beverage services,2761
Melbourne (Remainder),2022,Jobs by industry,Health care and social assistance,6439
Melbourne (Remainder),2022,Jobs by industry,Manufacturing,245
Melbourne (Remainder),2022,Jobs by industry,Wholesale trade,363
North Melbourne,2022,Jobs by industry,Accommodation,135
North Melbourne,2022,Jobs by industry,Admin and support services,448
North Melbourne,2022,Jobs by industry,Agriculture and mining,2
North Melbourne,2022,Jobs by industry,Business services,1842
North Melbourne,2022,Jobs by industry,Construction,603
North Melbourne,2022,Jobs by industry,Education and training,647
North Melbourne,2022,Jobs by industry,Food and beverage services,690
North Melbourne,2022,Jobs by industry,Information media and telecommunications,167
North Melbourne,2022,Jobs by industry,Manufacturing,278
North Melbourne,2022,Jobs by industry,Other services,1007
North Melbourne,2022,Jobs by industry,Public administration and safety,434
North Melbourne,2022,Jobs by industry,Retail trade,660
Parkville,2022,Jobs by industry,Agriculture and mining,0
Parkville,2022,Jobs by industry,Business services,1266
Parkville,2022,Jobs by industry,Education and training,4683
Parkville,2022,Jobs by industry,"Electricity, gas, water and waste services",0
Parkville,2022,Jobs by industry,Finance and insurance,34
Parkville,2022,Jobs by industry,Food and beverage services,715
Parkville,2022,Jobs by industry,Information media and telecommunications,10
Parkville,2022,Jobs by industry,Manufacturing,996
