Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,Location
2020,267,106251,106251,66-88 Lygon Street CARLTON VIC 3053,Carlton,Lord Lygon Wine Shop,Part Ground 66 Lygon Street CARLTON VIC 3053,80,144.96657,-37.8053,"-37.8053, 144.96657"
2020,267,106254,106254,Trades Hall 2-40 Lygon Street CARLTON VIC 3053,Carlton,Common Rooms At Trades Hall,Part Ground 54 Victoria Street CARLTON VIC 3053,174,144.96641,-37.80644,"-37.80644, 144.96641"
2020,270,664626,104468,Union House Building 130 230 Grattan Street PARKVILLE VIC 3010,Parkville,The Ida Bar,Part Level 1 Union House Building 130 230 Grattan Street PARKVILLE VIC 3010,200,144.96121,-37.79677,"-37.79677, 144.96121"
2020,327,102352,102352,171-173 Curzon Street NORTH MELBOURNE VIC 3051,North Melbourne,Albion Hotel,171-173 Curzon Street NORTH MELBOURNE VIC 3051,100,144.94855,-37.7989,"-37.7989, 144.94855"
2020,345,103393,103393,7 Errol Street NORTH MELBOURNE VIC 3051,North Melbourne,Joe Taylor,7 Errol Street NORTH MELBOURNE VIC 3051,30,144.94901,-37.8048,"-37.8048, 144.94901"
2020,358,107887,107887,Sir Robert Peel Hotel 351-359 Queensberry Street NORTH MELBOURNE VIC 3051,North Melbourne,Bobbie Peels,Sir Robert Peel Hotel 351-359 Queensberry Street NORTH MELBOURNE VIC 3051,240,144.95597,-37.80396,"-37.80396, 144.95597"
2020,361,109842,109842,Central Club Hotel 240-248 Victoria Street NORTH MELBOURNE VIC 3051,North Melbourne,Central Club Hotel,Central Club Hotel 240-248 Victoria Street NORTH MELBOURNE VIC 3051,150,144.95812,-37.80591,"-37.80591, 144.95812"
2020,377,102236,102236,56-58 Courtney Street NORTH MELBOURNE VIC 3051,North Melbourne,The Castle Hotel,56-58 Courtney Street NORTH MELBOURNE VIC 3051,317,144.95303,-37.8009,"-37.8009, 144.95303"
2020,423,109714,109714,345 Victoria Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Benchwarmer,Ground 345 Victoria Street WEST MELBOURNE VIC 3003,90,144.94996,-37.80546,"-37.80546, 144.94996"
2020,508,100820,100820,38-44 Barrett Street KENSINGTON VIC 3031,Kensington,Henry St Brewhouse,"Unit 5, 38 Barrett Street KENSINGTON VIC 3031",75,144.93432,-37.7981,"-37.7981, 144.93432"
2020,753,598987,598987,Evan Walker Bridge SOUTHBANK VIC 3006,Southbank,Ponyfish Island,Kiosk Evan Walker Bridge SOUTHBANK VIC 3006,150,144.96506,-37.81983,"-37.81983, 144.96506"
2020,801,110326,110326,4 Riverside Quay SOUTHBANK VIC 3006,Southbank,Soho Restaurant & Bar,Part Ground 4 Riverside Quay SOUTHBANK VIC 3006,200,144.96337,-37.82092,"-37.82092, 144.96337"
2020,801,110335,110335,1-9 Southbank Boulevard SOUTHBANK VIC 3006,Southbank,Left Bank Melbourne,Part Ground 1 Southbank Boulevard SOUTHBANK VIC 3006,400,144.96287,-37.82104,"-37.82104, 144.96287"
2020,801,559161,559161,Eureka Tower 3-7 Riverside Quay SOUTHBANK VIC 3006,Southbank,Belgian Beer Cafe Melbourne,5 Riverside Quay SOUTHBANK VIC 3006,638,144.96454,-37.82168,"-37.82168, 144.96454"
2020,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Atrium Bar,"Shop 70, Ground 8 Whiteman Street SOUTHBANK VIC 3006",100,144.95833,-37.82316,"-37.82316, 144.95833"
2020,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Groove Live Bar and Terrace,"Shop 71, Ground 8 Whiteman Street SOUTHBANK VIC 3006",600,144.95833,-37.82316,"-37.82316, 144.95833"
2020,803,597190,110477,Crown Towers Hotel 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Club 23,Restaurant Crown Towers Hotel Crown Casino 8 Whiteman Street SOUTHBANK VIC 3006,450,144.95833,-37.82316,"-37.82316, 144.95833"
2020,804,623559,110484,Pan Pacific Melbourne 2 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Pan Pacific,Pan Pacific Melbourne 2 Convention Centre Place SOUTH WHARF VIC 3006,60,144.95232,-37.82543,"-37.82543, 144.95232"
