Geography,Year,Gender,Age,Value
City of Melbourne,2023,Total,Age 20-24,30252
City of Melbourne,2023,Total,Age 40-44,8722
City of Melbourne,2023,Total,Age 45-49,6301
City of Melbourne,2023,Total,Age 85+,553
Carlton,2023,Total,Age 10-14,319
Carlton,2023,Total,Age 25-29,3459
Carlton,2023,Total,Age 30-34,2073
Carlton,2023,Total,Age 35-39,1303
Carlton,2023,Total,Age 40-44,674
Carlton,2023,Total,Age 55-59,422
Carlton,2023,Total,Age 65-69,342
Carlton,2023,Total,Age 70-74,350
Carlton,2023,Total,Age 85+,40
Docklands,2023,Total,Age 0-4,852
Docklands,2023,Total,Age 30-34,2645
Docklands,2023,Total,Age 45-49,820
Docklands,2023,Total,Age 55-59,846
Docklands,2023,Total,Age 70-74,301
Docklands,2023,Total,Age 85+,30
East Melbourne,2023,Total,Age 5-9,42
East Melbourne,2023,Total,Age 20-24,360
East Melbourne,2023,Total,Age 30-34,766
East Melbourne,2023,Total,Age 35-39,603
East Melbourne,2023,Total,Age 40-44,330
East Melbourne,2023,Total,Age 80-84,34
East Melbourne,2023,Total,Age 85+,48
Kensington,2023,Total,Age 0-4,773
Kensington,2023,Total,Age 20-24,646
Kensington,2023,Total,Age 40-44,1035
Kensington,2023,Total,Age 50-54,414
Kensington,2023,Total,Age 55-59,477
Kensington,2023,Total,Age 70-74,260
Kensington,2023,Total,Age 85+,52
Melbourne (CBD),2023,Total,Age 0-4,961
Melbourne (CBD),2023,Total,Age 15-19,2432
Melbourne (CBD),2023,Total,Age 25-29,10914
Melbourne (CBD),2023,Total,Age 35-39,3581
Melbourne (CBD),2023,Total,Age 55-59,875
Melbourne (CBD),2023,Total,Age 65-69,533
Melbourne (CBD),2023,Total,Age 75-79,246
Melbourne (CBD),2023,Total,Age 80-84,133
Melbourne (Remainder),2023,Total,Age 0-4,71
Melbourne (Remainder),2023,Total,Age 10-14,35
Melbourne (Remainder),2023,Total,Age 25-29,351
Melbourne (Remainder),2023,Total,Age 35-39,364
Melbourne (Remainder),2023,Total,Age 40-44,268
Melbourne (Remainder),2023,Total,Age 65-69,264
Melbourne (Remainder),2023,Total,Age 75-79,154
North Melbourne,2023,Total,Age 15-19,531
North Melbourne,2023,Total,Age 20-24,2697
North Melbourne,2023,Total,Age 25-29,2940
North Melbourne,2023,Total,Age 35-39,1546
North Melbourne,2023,Total,Age 40-44,1183
North Melbourne,2023,Total,Age 45-49,773
North Melbourne,2023,Total,Age 50-54,616
North Melbourne,2023,Total,Age 65-69,425
North Melbourne,2023,Total,Age 75-79,144
North Melbourne,2023,Total,Age 85+,37
Parkville,2023,Total,Age 15-19,856
